rank,participant,C1,C2,C3,C4,C5,C6,C7,C8,final_score,top10
1,"Алексей Яковлев",5,5,4,5,5,5,5,4,96,TRUE
2,"Василий Жарков",5,3,5,5,5,4,4,4,87,TRUE
3,"Максим Мельников",5,4,3,5,4,4,4,3,82,TRUE
4,"Владислав Пучков",5,2,5,5,5,2,4,4,79,TRUE
5,"Александр Тригуб",4,2,4,4,5,5,4,5,77,TRUE
6,"Илья Русаков",3,1,5,4,5,3,4,3,66,TRUE
7,"Владимир Назаров",3,2,4,4,4,3,4,3,65,TRUE
8,"Максим Фомин",3,2,4,4,4,3,3,3,63,TRUE
9,"Дмитрий Севальнев",3,2,4,4,4,2,3,3,61,TRUE
10,"Владимир Малюгин",3,2,3,4,4,2,3,3,58,TRUE
11,"Илья Исерсон",2,0,2,4,4,2,3,2,42,FALSE
12,"Павел Молянов",2,0,0,4,1,4,5,4,40,FALSE
13,"Ренат Янбеков",1,0,0,3,0,3,5,2,28,FALSE
14,"Дарья Фокина",1,0,0,2,1,3,4,3,27,FALSE
15,"Роман Кумар Виас",1,0,0,2,1,3,3,2,24,FALSE
