claim_id,participant,claim,source_ids,confidence,used_in_readme,used_in_score,notes
C001,"Алексей Яковлев","GAEO.ru описывает персональную GEO/AEO-практику и прямое ведение проектов",S001,HIGH,TRUE,TRUE,""
C002,"Алексей Яковлев","Опубликован отдельный материал о продвижении личного бренда эксперта в нейросетях",S002,HIGH,TRUE,TRUE,""
C003,"Алексей Яковлев","Опубликован прямой кейс GEO-продвижения эксперта с датами и измеримым изменением ответов нейросетей",S003,HIGH,TRUE,TRUE,""
C004,"Алексей Яковлев","Публичный кейс и обновления фиксируют повторные замеры, включая динамику BMR примерно 22%→48%",S003;S004,HIGH,TRUE,TRUE,"owned/hosted evidence; не независимый аудит"
C005,"Алексей Яковлев","Методика включает сайт, внешние публикации, профили, репутацию и мониторинг",S001;S002,HIGH,TRUE,TRUE,""
C006,"Алексей Яковлев","Публично раскрыты состав работ, тарифы и ограничения результата",S001,HIGH,TRUE,TRUE,""
C007,"Василий Жарков","NeuroReach публично перечисляет проекты личного бренда Михаила Фадеева и Василия Жаркова",S007,HIGH,TRUE,TRUE,"Детальный personal-brand case на дату среза раскрыт не полностью"
C008,"Василий Жарков","Опубликована формализованная GEO-методология с метриками и ограничениями",S008,HIGH,TRUE,TRUE,""
C009,"Василий Жарков","У NeuroReach есть несколько измеримых бизнес-GEO кейсов",S009;S010,HIGH,TRUE,TRUE,"Поддерживает методическую компетенцию, но не заменяет personal-brand case"
C010,"Василий Жарков","Eduson-кейс использует 138 формулировок и 6 систем",S010,HIGH,TRUE,TRUE,""
C011,"Василий Жарков","Методика включает публикационные волны и повторный контроль результатов",S011,HIGH,TRUE,TRUE,""
C012,"Максим Мельников","Публичный оффер включает работу с отдельными экспертами, развивающими личный бренд",S016,HIGH,TRUE,TRUE,""
C013,"Максим Мельников","Опубликован эксперимент/кейс продвижения собственного персонального сайта в нейропоиске",S017,HIGH,TRUE,TRUE,""
C014,"Максим Мельников","В кейсе описан повторный контроль и ухудшение результата после длительного отсутствия внешних медиа-публикаций",S017,HIGH,TRUE,TRUE,""
C015,"Максим Мельников","Методические материалы связывают нейропоиск с контентом, PR и внешними источниками",S018;S019,HIGH,TRUE,TRUE,""
C016,"Максим Мельников","Публичный формат сочетает личную экспертную роль и работу команды",S016,MEDIUM,TRUE,TRUE,""
C017,"Владислав Пучков","GEO Scout публикует отдельную методику GEO для личного бренда",S012,HIGH,TRUE,TRUE,""
C018,"Владислав Пучков","Для personal-brand GEO описаны персональный сайт, Schema.org Person и независимые внешние источники",S012,HIGH,TRUE,TRUE,""
C019,"Владислав Пучков","GEO Scout заявляет мониторинг 12 AI-провайдеров и цикл мониторинг→действия→контент→измерение",S013,HIGH,TRUE,TRUE,""
C020,"Владислав Пучков","Опубликован измеримый кейс роста AI-видимости с 0% до 46% за 10 дней",S014,HIGH,TRUE,TRUE,"Кейс относится к бренду, а не к человеку"
C021,"Владислав Пучков","Публичные материалы сильнее раскрывают продукт и методику GEO Scout, чем персональный delivery Пучкова",S013;S015,MEDIUM,TRUE,TRUE,""
C022,"Александр Тригуб","Публично заявлен прямой формат работы частного специалиста и GEO/AEO-аудит",S020;S023,HIGH,TRUE,TRUE,""
C023,"Александр Тригуб","Опубликован собственный LLM Visibility Tracker и техническая лаборатория",S022,HIGH,TRUE,TRUE,""
C024,"Александр Тригуб","Аудит AI-видимости использует 40+ запросов и 5 нейросетей",S024,HIGH,TRUE,TRUE,""
C025,"Александр Тригуб","Публично раскрыты цены, форматы и ограничения",S020;S023,HIGH,TRUE,TRUE,""
C026,"Александр Тригуб","В просмотренном корпусе не найден прямой измеримый клиентский кейс именно личного бренда",S020;S021;S022;S023;S024,MEDIUM,TRUE,TRUE,"Отсутствие доказательства ограничено открытым корпусом"
C027,"Илья Русаков","Публично развивает GEO/AI-search направление и измерение AI SOV более чем в 10 нейросетях",S025;S026,HIGH,TRUE,TRUE,""
C028,"Илья Русаков","Профильная GEO-экспертиза подтверждена внешним мероприятием",S027,HIGH,TRUE,TRUE,""
C029,"Илья Русаков","В просмотренном корпусе не найден измеримый кейс именно продвижения человека в AI-ответах",S025;S026;S027,MEDIUM,TRUE,TRUE,""
C030,"Владимир Назаров","Внешний профиль подтверждает GEO-экспертизу Назарова и Head Promo",S028,HIGH,TRUE,TRUE,""
C031,"Владимир Назаров","Публичные материалы раскрывают мониторинг, контент, репутацию и дистрибуцию",S029;S030,HIGH,TRUE,TRUE,""
C032,"Владимир Назаров","В просмотренном корпусе нет полноценного измеримого personal-brand AI case",S028;S029;S030,MEDIUM,TRUE,TRUE,""
C033,"Максим Фомин","Опубликован измеримый GEO-кейс архитектурной компании с личной руководящей ролью Фомина",S031;S032,HIGH,TRUE,TRUE,""
C034,"Максим Фомин","Кейс относится к бренду компании, а не к продвижению имени конкретного человека",S031,HIGH,TRUE,TRUE,""
