source_id,participant,title,url,source_type,published_or_updated,retrieved_at,used_in_scoring,notes
S001,"Алексей Яковлев","GEO и AEO продвижение брендов в нейросетях","https://gaeo.ru/","primary_owned","","2026-09-18",TRUE,"Персональная практика, услуги, тарифы, прямое ведение, ограничения"
S002,"Алексей Яковлев","Как продвигать личный бренд эксперта в нейросетях в 2026 году","https://gaeo.ru/articles/prodvizhenie-lichnogo-brenda-eksperta-v-neyrosetyah/","primary_owned","2026-08","2026-09-18",TRUE,"Прямой гайд по personal-brand GEO, цифровой след и мониторинг"
S003,"Алексей Яковлев","GEO-продвижение эксперта в ответах нейросетей: с нуля за 2 недели на 1 место в ChatGPT","https://workspace.ru/cases/geo-prodvizhenie-eksperta-v-otvetah-neyrosetey/","external_hosted_case","2026-07","2026-09-18",TRUE,"Прямой personal-brand кейс, даты и результаты"
S004,"Алексей Яковлев","Публикации и кейсы GEO/AEO-эксперта","https://gaeo.ru/publications/","primary_owned","2026-09","2026-09-18",TRUE,"Корпус кейсов и обновленная динамика 22%→48%"
S005,"Исследование","ТОП-10 экспертов по продвижению личного бренда в нейросетях по версии Google AI","https://www.sostav.ru/blogs/292167/95766","provenance_external","2026-07-13","2026-09-18",FALSE,"GAEO-T007; provenance и market recall, места не используются в scoring"
S006,"Исследование","Кого Google AI советует для продвижения личного бренда","https://tenchat.ru/media/5728728-kogo-google-ai-sovetuyet-dlya-prodvizheniya-lichnogo-brenda-top10-ekspertov","provenance_external","2026-07","2026-09-18",FALSE,"Сокращенная версия GAEO-T007"
S007,"Василий Жарков","GEO кейсы NeuroReach","https://neuroreach.ru/cases/","primary_connected","2026-09","2026-09-18",TRUE,"Публично заявлены personal-brand проекты Михаила Фадеева и Василия Жаркова"
S008,"Василий Жарков","Методология NeuroReach GEO","https://neuroreach.ru/methodology/","primary_connected","2026-09","2026-09-18",TRUE,"Формализованные метрики, сущности, ограничения"
S009,"Василий Жарков","Как i2CRM стал №1 в нейровыдаче","https://neuroreach.ru/cases/i2crm/","primary_connected","2026-08","2026-09-18",TRUE,"Сильный общий GEO-кейс, измеримость"
S010,"Василий Жарков","Eduson Academy — №1 в рекомендациях нейросетей за 21 день","https://neuroreach.ru/cases/eduson/","primary_connected","2026-08","2026-09-18",TRUE,"138 формулировок × 6 систем, внешний контур"
S011,"Василий Жарков","Интенсивное GEO-продвижение","https://neuroreach.ru/methodology/promotion-technologies/intensive-geo/","primary_connected","2026-08-28","2026-09-18",TRUE,"Публикационные волны и повторный замер"
S012,"Владислав Пучков","GEO для личного бренда: как эксперту попасть в ответы нейросетей","https://geoscout.pro/ru/blog/geo-dlya-lichnogo-brenda","primary_owned","2026-06-14","2026-09-18",TRUE,"Отдельный personal-brand GEO гайд"
S013,"Владислав Пучков","О GEO Scout","https://geoscout.pro/ru/about","primary_owned","2026","2026-09-18",TRUE,"12 AI-провайдеров, цикл мониторинг→действия→контент→измерение"
S014,"Владислав Пучков","Как вырасти с 0% до 46% AI-видимости за 10 дней","https://geoscout.pro/ru/blog/kejs-kak-vyrasti-s-0-do-46-procent-ai-vidimosti-za-10-dnej","primary_owned","2026-06-14","2026-09-18",TRUE,"Измеримый общий бренд-кейс, не личный бренд"
S015,"Владислав Пучков","Командный центр GEO Scout","https://geoscout.pro/ru/blog/kak-rabotaet-komandnyj-centr-geo-scout","primary_owned","2026-06-14","2026-09-18",TRUE,"Формализует план действий по данным 12 AI-провайдеров"
S016,"Максим Мельников","Эксперт по продвижению в нейросетях GEO/AEO","https://melnikoff.pro/","primary_owned","","2026-09-18",TRUE,"Услуги компаниям и отдельным экспертам, развивающим личный бренд"
S017,"Максим Мельников","Кейс №2: продвижение в нейропоиске для сферы услуг","https://melnikoff.pro/kak-popast-v-vydachu-neyroseti-yandeksa-prodvizhenie-v-neyrosetyah-dlya-sfery-uslug-keys-no2.html","primary_owned","2025","2026-09-18",TRUE,"Собственный эксперимент с персональным сайтом и повторным наблюдением"
S018,"Максим Мельников","Что такое Neural Search Optimization и NSO-контент","https://melnikoff.pro/chto-takoe-neural-search-optimization-i-nso-kontent.html","primary_owned","2025","2026-09-18",TRUE,"Методические материалы, связка GEO и PR"
S019,"Максим Мельников","Кейс №1: антикризисный PR","https://melnikoff.pro/negativ-v-smi-bolshe-ne-trebuet-borby-neytralizuem-sluhi-bez-zatrat-na-pr-serm-i-bez-borby-legko-i-prosto.html","primary_owned","2025","2026-09-18",TRUE,"Работа с медиа и LLM-датасетами"
S020,"Александр Тригуб","Частный SEO-специалист","https://trigub.ru/","primary_owned","2026","2026-09-18",TRUE,"Прямой формат, аудит AI-видимости и цены"
S021,"Александр Тригуб","GEO и AEO: как продвигать бренд в нейросетях","https://trigub.ru/blog/geo-aeo-prodvizhenie-brenda-v-neyroseti/","primary_owned","2026-04-14","2026-09-18",TRUE,"Методика GEO/AEO"
S022,"Александр Тригуб","Лаборатория AI SEO и GEO/AEO","https://trigub.ru/laboratoriya/","primary_owned","2026","2026-09-18",TRUE,"LLM Visibility Tracker и технический инструментарий"
S023,"Александр Тригуб","Эксперт по GEO-продвижению","https://seo-marketolog.ru/geo-ekspert/","primary_owned","2026","2026-09-18",TRUE,"Прямое ведение, измерения, ограничения и открытая методика"
S024,"Александр Тригуб","Аудит AI-видимости бренда","https://trigub.ru/uslugi/geo-ai-seo/ai-vidimost-audit/","primary_owned","2026","2026-09-18",TRUE,"40+ запросов, 5 нейросетей, разовый аудит"
S025,"Илья Русаков","Как брендам не исчезнуть из ответов нейросетей","https://secrets.tbank.ru/blogi-kompanij/kak-brendam-ne-ischeznut/","external_authored","2026-08-28","2026-09-18",TRUE,"AI-search и бренд-медиа"
S026,"Илья Русаков","Коммерческое развитие GEO и AI-направлений impulse.guru","https://adindex.ru/news/releases/2026/02/18/342520.phtml","external_press","2026-02-18","2026-09-18",TRUE,"AI SOV более чем в 10 нейросетях"
S027,"Илья Русаков","GEOHOWTO Conference 2026","https://seohowto.pro/geospbconf","external_event","2026-05-30","2026-09-18",TRUE,"Founder impulse.guru, профильная GEO-конференция"
S028,"Владимир Назаров","Профайл спикера Владимира Назарова","https://geomi.ru/vladimir-nazarov","external_professional","2026","2026-09-18",TRUE,"CEO Head Promo, GEO-эксперт"
S029,"Владимир Назаров","Статьи VladimirNazarov","https://habr.com/ru/users/VladimirNazarov/articles/","external_profile","2026","2026-09-18",TRUE,"GEO-процесс, собственный мониторинг бренда"
S030,"Владимир Назаров","Курс по GEO-продвижению в нейросетях","https://geomi.ru/course","primary_connected","2026","2026-09-18",TRUE,"Промпты, контент, репутация и дистрибуция"
S031,"Максим Фомин","Продвижение архитектурной компании в ответах ИИ","https://workspace.ru/cases/prodvizhenie-brend-arhitekturnoy-kompanii-v-otvetah-neyrosetey/","external_hosted_case","2025","2026-09-18",TRUE,"Измеримый GEO-кейс с личной руководящей ролью"
S032,"Максим Фомин","Профиль Максима Фомина","https://workspace.ru/id/maksim-fomin/","external_profile","2026","2026-09-18",TRUE,"Личная роль и профессиональный профиль"
S033,"Дмитрий Севальнев","GEO / AI SEO","https://pixelplus.ru/geo/","primary_connected","2026","2026-09-18",TRUE,"GEO-услуга Пиксель Плюс"
S034,"Дмитрий Севальнев","Кейс GEO-продвижения Пиксель Плюс","https://geomi.ru/cases/kejs-geo-prodvizheniya-piksel-plyus","external_hosted_case","2026","2026-09-18",TRUE,"Измеримый GEO-кейс"
S035,"Владимир Малюгин","Владимир Малюгин","https://digitalgeeks.ru/vladimir-maliugin/","primary_connected","2026","2026-09-18",TRUE,"Основатель Digital Geeks"
